name,height,debut,birthday,branch,color,quote
Elira Pendora,160,2021 05/16,10月16日,EN,#95C8D8,
Pomu Rainpuff,156,2021 05/16,7月12日,EN,#258E70,
Finana Ryugu,140,2021 05/16,6月21日,EN,#35D9AD,
Rosemi Lovelock,150,2021 07/18,9月16日,EN,#DC3753,
Petra Gurin,142,2021 07/18,12月4日,EN,#FFAE42,
Selen Tatsuki,160,2021 07/18,11月30日,EN,#7E4EAC,
Enna Alouette,150,2021 10/09,2月20日,EN,#858ED1,
Nina Kosaka,174,2021 10/09,11月22日,EN,#660000,
Reimu Endou,155,2021 10/09,11月2日,EN,#B90B4A,
Millie Parfait,150,2021 10/09,12月12日,EN,#FEBC87,
